Brand,Model,Reference Number,Type,Movement,Base Movement,Movement Type,Price (New),Price (Used),Year,Case Diameter (mm),Lug Width (mm),Case Thickness (mm),Water Resistance (m),Crystal,Weight (grams),Case Material,Bracelet/Strap Type,Bezel Material,Power Reserve (hours),Complications,Gender,Country of Manufacture
Rolex,Lady-Datejust 28,279174,Dress,Rolex 2236,In-house,Automatic,8950,7800,2024,28.0,13.0,9.0,100,Sapphire,95,Stainless Steel,Oyster Bracelet,White Gold Fluted,55,Date,Women,Switzerland
Omega,Speedmaster Professional Moonwatch,310.30.42.50.01.001,Chronograph,Omega 3861,Lemania-based,Manual,7000,5200,2024,42.0,20.0,13.2,50,Hesalite,134,Stainless Steel,Bracelet,Aluminum,50,Chronograph,Men,Switzerland
Omega,Speedmaster Professional Moonwatch Sapphire,310.30.42.50.01.002,Chronograph,Omega 3861,Lemania-based,Manual,8100,6000,2024,42.0,20.0,13.2,50,Sapphire,148,Stainless Steel,Bracelet,Aluminum,50,Chronograph,Men,Switzerland
Omega,Seamaster Diver 300M,210.30.42.20.03.001,Diver,Omega 8800,In-house,Automatic,5600,4500,2024,42.0,20.0,13.6,300,Sapphire,185,Stainless Steel,Bracelet,Ceramic,55,Date,Men,Switzerland
Omega,Seamaster Diver 300M 'No Time to Die',210.92.42.20.01.001,Diver,Omega 8806,In-house,Automatic,9700,8000,2023,42.0,20.0,13.6,300,Sapphire,100,Titanium,NATO,Aluminum,55,None,Men,Switzerland
Omega,Seamaster Aqua Terra 150M,220.10.41.21.03.001,Sport,Omega 8900,In-house,Automatic,6200,4800,2024,41.0,20.0,13.0,150,Sapphire,165,Stainless Steel,Bracelet,Steel,60,Date,Men,Switzerland
Omega,Seamaster Planet Ocean 600M,215.30.44.21.01.001,Diver,Omega 8900,In-house,Automatic,7000,5500,2024,43.5,21.0,16.5,600,Sapphire,200,Stainless Steel,Bracelet,Ceramic,60,Date,Men,Switzerland
Omega,Seamaster Ploprof 1200M,227.30.55.21.01.001,Diver,Omega 8912,In-house,Automatic,13100,9500,2023,55.0,0.0,17.0,1200,Sapphire,315,Stainless Steel,Bracelet,Ceramic,60,Date,Men,Switzerland
Omega,Constellation 39mm,131.30.39.20.06.001,Dress,Omega 8900,In-house,Automatic,6300,4200,2024,39.0,19.0,12.0,100,Sapphire,150,Stainless Steel,Bracelet,Steel,60,Date,Men,Switzerland
Omega,De Ville Trésor,435.13.40.21.02.001,Dress,Omega 8910,In-house,Manual,6800,4500,2023,40.0,20.0,9.9,30,Sapphire,90,Stainless Steel,Leather,Steel,72,Small Seconds,Men,Switzerland
Omega,Speedmaster '57,332.10.41.51.02.002,Chronograph,Omega 9906,In-house,Automatic,9300,7200,2024,40.5,20.0,12.99,50,Sapphire,155,Stainless Steel,Bracelet,Aluminum,60,Chronograph,Men,Switzerland
Omega,Railmaster,220.10.40.20.01.001,Field,Omega 8806,In-house,Automatic,5500,4100,2023,40.0,20.0,12.8,150,Sapphire,160,Stainless Steel,Bracelet,Steel,55,None,Men,Switzerland
Omega,Globemaster Annual Calendar,130.33.41.22.03.001,Dress,Omega 8922,In-house,Automatic,9100,6500,2023,41.0,20.0,13.0,100,Sapphire,165,Stainless Steel,Leather,Tungsten Carbide,60,Annual Calendar,Men,Switzerland
Omega,Speedmaster Dark Side of the Moon,311.92.44.51.01.005,Chronograph,Omega 9300,In-house,Automatic,12600,8800,2023,44.25,21.0,16.3,50,Sapphire,95,Ceramic,Strap,Ceramic,60,"Chronograph, Date",Men,Switzerland
Omega,Seamaster 300,234.30.41.21.01.001,Diver,Omega 8912,In-house,Automatic,6500,5000,2024,41.0,20.0,13.85,300,Sapphire,170,Stainless Steel,Bracelet,Aluminum,60,None,Men,Switzerland
Tudor,Black Bay 58,79030N,Diver,Tudor MT5402,Kenissi,Automatic,3950,3100,2024,39.0,20.0,11.9,200,Sapphire,135,Stainless Steel,Bracelet,Aluminum,70,None,Men,Switzerland
Tudor,Black Bay 58 Blue,79030B,Diver,Tudor MT5402,Kenissi,Automatic,3950,3300,2024,39.0,20.0,11.9,200,Sapphire,135,Stainless Steel,Bracelet,Aluminum,70,None,Men,Switzerland
Tudor,Black Bay 54,79000N,Diver,Tudor MT5400,Kenissi,Automatic,3775,3500,2024,37.0,20.0,11.24,200,Sapphire,125,Stainless Steel,Bracelet,Aluminum,70,None,Unisex,Switzerland
Tudor,Black Bay GMT,79830RB,GMT,Tudor MT5652,Kenissi,Automatic,4575,3800,2024,41.0,22.0,14.6,200,Sapphire,165,Stainless Steel,Bracelet,Aluminum,70,GMT,Men,Switzerland
Tudor,Black Bay Pro,79470,GMT,Tudor MT5652,Kenissi,Automatic,4375,3700,2024,39.0,22.0,14.6,200,Sapphire,155,Stainless Steel,Bracelet,Steel,70,GMT,Men,Switzerland
Tudor,Black Bay Chrono,79360N,Chronograph,Tudor MT5813,Breitling B01-based,Automatic,5750,4500,2024,41.0,22.0,14.9,200,Sapphire,175,Stainless Steel,Bracelet,Steel,70,"Chronograph, Date",Men,Switzerland
Tudor,Pelagos 39,25407N,Diver,Tudor MT5400,Kenissi,Automatic,4700,4200,2024,39.0,21.0,11.8,200,Sapphire,90,Titanium,Bracelet,Ceramic,70,None,Men,Switzerland
Tudor,Pelagos FXD,25717N,Diver,Tudor MT5602,Kenissi,Automatic,4350,3900,2024,42.0,22.0,12.75,200,Sapphire,95,Titanium,Fabric,Aluminum,70,None,Men,Switzerland
Tudor,Ranger,79950,Field,Tudor MT5402,Kenissi,Automatic,3225,2800,2024,39.0,20.0,12.0,100,Sapphire,130,Stainless Steel,Bracelet,Steel,70,None,Unisex,Switzerland
Tudor,Royal 41,28600,Sport,Tudor 2824,ETA-based,Automatic,2575,2000,2023,41.0,21.0,11.5,100,Sapphire,165,Stainless Steel,Bracelet,Steel,38,Day-Date,Men,Switzerland
Tudor,1926 41mm,91550,Dress,Tudor 2824,ETA-based,Automatic,1900,1400,2023,41.0,21.0,10.6,100,Sapphire,150,Stainless Steel,Bracelet,Steel,38,Date,Men,Switzerland
Tudor,Black Bay 58 GMT,79830,GMT,Tudor MT5450-U,Kenissi,Automatic,4625,4400,2025,39.0,20.0,12.8,200,Sapphire,140,Stainless Steel,Bracelet,Aluminum,65,GMT,Men,Switzerland
Cartier,Tank Must Large,WSTA0041,Dress,Cartier (Quartz),ETA-based,Quartz,3050,2400,2024,33.7,0.0,6.6,30,Sapphire,55,Stainless Steel,Leather,Steel,0,None,Unisex,Switzerland
Cartier,Tank Must SolarBeat,WSTA0059,Dress,Cartier SolarBeat,In-house,Quartz,3400,2900,2024,33.7,0.0,6.6,30,Sapphire,50,Stainless Steel,Leather,Steel,0,None,Unisex,Switzerland
Cartier,Tank Louis Cartier,WGTA0091,Dress,Cartier 1917 MC,In-house,Manual,11400,8500,2024,33.7,0.0,6.6,30,Sapphire,45,Yellow Gold,Leather,Yellow Gold,38,None,Unisex,Switzerland
Cartier,Tank Française Medium,WSTA0074,Dress,Cartier (Quartz),ETA-based,Quartz,4350,3400,2024,32.0,0.0,9.3,30,Sapphire,95,Stainless Steel,Bracelet,Steel,0,None,Women,Switzerland
Cartier,Santos de Cartier Large,WSSA0018,Sport,Cartier 1847 MC,In-house,Automatic,7700,6200,2024,39.8,21.5,9.4,100,Sapphire,150,Stainless Steel,Bracelet,Steel,42,None,Men,Switzerland
Cartier,Santos de Cartier Medium,WSSA0029,Sport,Cartier 1847 MC,In-house,Automatic,7350,5800,2024,35.1,17.5,8.8,100,Sapphire,120,Stainless Steel,Bracelet,Steel,42,None,Unisex,Switzerland
Cartier,Ballon Bleu 40mm,WSBB0060,Dress,Cartier 1847 MC,In-house,Automatic,7350,5500,2024,40.0,20.0,13.0,30,Sapphire,145,Stainless Steel,Bracelet,Steel,42,None,Men,Switzerland
Cartier,Panthère Medium,WSPN0007,Dress,Cartier (Quartz),ETA-based,Quartz,5550,4500,2024,27.0,0.0,6.0,30,Sapphire,90,Stainless Steel,Bracelet,Steel,0,None,Women,Switzerland
Cartier,Pasha de Cartier 41mm,WSPA0009,Sport,Cartier 1847 MC,In-house,Automatic,7650,6000,2024,41.0,0.0,9.55,100,Sapphire,155,Stainless Steel,Bracelet,Steel,42,None,Men,Switzerland
Cartier,Tank Américaine,WSTA0083,Dress,Cartier 1899 MC,In-house,Automatic,9050,7000,2024,44.4,0.0,8.46,30,Sapphire,80,Stainless Steel,Leather,Steel,40,None,Men,Switzerland
Cartier,Drive de Cartier,WSNM0004,Dress,Cartier 1904-PS MC,In-house,Automatic,6750,4800,2023,40.0,0.0,11.25,30,Sapphire,110,Stainless Steel,Leather,Steel,48,Date,Men,Switzerland
Seiko,Prospex Turtle,SRPE05,Diver,Seiko 4R36,In-house,Automatic,525,380,2024,45.0,22.0,13.2,200,Hardlex,195,Stainless Steel,Bracelet,Stainless Steel,41,Day-Date,Men,Japan
Seiko,Prospex Samurai,SRPB51,Diver,Seiko 4R35,In-house,Automatic,525,360,2023,43.8,22.0,13.4,200,Hardlex,185,Stainless Steel,Bracelet,Stainless Steel,41,Date,Men,Japan
Seiko,Prospex 'Sumo',SPB323,Diver,Seiko 6R35,In-house,Automatic,1100,800,2024,45.0,20.0,12.9,200,Sapphire,200,Stainless Steel,Bracelet,Stainless Steel,70,Date,Men,Japan
Seiko,Prospex 'Willard' Captain Willard,SPB317,Diver,Seiko 6R35,In-house,Automatic,1300,950,2023,42.7,19.0,13.2,200,Sapphire,170,Stainless Steel,Silicone,Stainless Steel,70,Date,Men,Japan
Seiko,Prospex 1968 Diver Modern Re-interpretation,SPB143,Diver,Seiko 6R35,In-house,Automatic,1200,900,2024,40.5,20.0,13.2,200,Sapphire,165,Stainless Steel,Bracelet,Stainless Steel,70,Date,Men,Japan
Seiko,Prospex Speedtimer Solar Chronograph,SSC813,Chronograph,Seiko V192,In-house,Solar,695,500,2024,39.0,20.0,13.3,100,Sapphire,140,Stainless Steel,Bracelet,Tachymeter,0,"Chronograph, Date",Men,Japan
Seiko,Prospex Speedtimer Mechanical Chronograph,SRQ035,Chronograph,Seiko 8R46,In-house,Automatic,2900,2100,2023,42.5,20.0,15.1,100,Sapphire,185,Stainless Steel,Bracelet,Tachymeter,45,"Chronograph, Date",Men,Japan
Seiko,5 Sports SRPD,SRPD55,Sport,Seiko 4R36,In-house,Automatic,295,200,2024,42.5,22.0,13.4,100,Hardlex,155,Stainless Steel,Bracelet,Stainless Steel,41,Day-Date,Men,Japan
Seiko,5 Sports GMT,SSK001,GMT,Seiko 4R34,In-house,Automatic,475,350,2024,42.5,22.0,13.6,100,Hardlex,165,Stainless Steel,Bracelet,Aluminum,41,GMT,Men,Japan
Seiko,5 Sports SNXS,SNXS73,Sport,Seiko 7S26,In-house,Automatic,195,130,2023,37.0,18.0,11.4,30,Hardlex,120,Stainless Steel,Bracelet,Stainless Steel,41,Day-Date,Unisex,Japan
Seiko,Presage Cocktail Time,SRPB41,Dress,Seiko 4R35,In-house,Automatic,425,300,2024,40.5,20.0,11.8,50,Hardlex,135,Stainless Steel,Leather,Stainless Steel,41,Date,Men,Japan
Seiko,Presage Sharp Edged Series,SPB167,Dress,Seiko 6R35,In-house,Automatic,1250,850,2024,39.3,20.0,11.1,100,Sapphire,150,Stainless Steel,Bracelet,Stainless Steel,70,Date,Men,Japan
Seiko,Presage Style60s GMT,SSK011,GMT,Seiko 4R34,In-house,Automatic,595,420,2024,40.8,20.0,12.9,50,Sapphire,130,Stainless Steel,Bracelet,Stainless Steel,41,GMT,Men,Japan
Seiko,King Seiko KSK Re-creation,SPB281,Dress,Seiko 6R31,In-house,Automatic,1700,1200,2024,37.0,19.0,12.1,50,Sapphire,160,Stainless Steel,Bracelet,Stainless Steel,70,None,Men,Japan
Seiko,Prospex Solar Diver,SNE573,Diver,Seiko V157,In-house,Solar,525,350,2024,43.5,20.0,10.7,200,Hardlex,95,Stainless Steel,Silicone,Stainless Steel,0,Date,Men,Japan
Seiko,Astron GPS Solar,SSH109,GMT,Seiko 5X53,In-house,Solar,2600,1800,2024,42.8,22.0,12.2,200,Sapphire,165,Titanium,Bracelet,Ceramic,0,"GMT, Perpetual Calendar",Men,Japan
Seiko,Prospex Alpinist,SPB121,Field,Seiko 6R35,In-house,Automatic,775,550,2024,39.5,20.0,13.2,200,Sapphire,165,Stainless Steel,Bracelet,Compass,70,Date,Men,Japan
Seiko,Prospex Arnie Solar Diver,SNJ025,Diver,Seiko H851,In-house,Solar,595,420,2023,47.8,22.0,14.7,200,Hardlex,115,Stainless Steel,Silicone,Stainless Steel,0,"Chronograph, Date",Men,Japan
Seiko,Prospex Marinemaster 300,SLA021,Diver,Seiko 8L35,In-house,Automatic,3400,2600,2023,44.3,20.0,15.4,300,Sapphire,225,Stainless Steel,Silicone,Stainless Steel,50,Date,Men,Japan
Seiko,5 Sports SKX Style,SRPK29,Diver,Seiko 4R36,In-house,Automatic,350,250,2024,42.5,22.0,13.5,100,Hardlex,160,Stainless Steel,Bracelet,Stainless Steel,41,Day-Date,Men,Japan
Grand Seiko,Snowflake,SBGA211,Dress,Grand Seiko 9R65,In-house,Spring Drive,6300,5200,2024,41.0,21.0,12.5,100,Sapphire,100,Titanium,Bracelet,Steel,72,"Date, Power Reserve",Men,Japan
Grand Seiko,Heritage 62GS,SBGA413 'Shunbun',Dress,Grand Seiko 9R65,In-house,Spring Drive,6200,4900,2024,40.0,19.0,12.8,100,Sapphire,120,Stainless Steel,Bracelet,Steel,72,Date,Men,Japan
Grand Seiko,White Birch,SLGH005,Dress,Grand Seiko 9SA5,In-house,Automatic,9100,7200,2024,40.0,22.0,11.7,100,Sapphire,150,Stainless Steel,Bracelet,Steel,80,Date,Men,Japan
Grand Seiko,Heritage Hi-Beat 36000,SBGH279,Dress,Grand Seiko 9S85,In-house,Automatic,6400,4800,2024,40.0,21.0,13.0,100,Sapphire,155,Stainless Steel,Bracelet,Steel,55,Date,Men,Japan
Grand Seiko,Sport Spring Drive GMT,SBGE255,GMT,Grand Seiko 9R66,In-house,Spring Drive,6700,5500,2024,44.0,22.0,14.1,200,Sapphire,185,Stainless Steel,Bracelet,Ceramic,72,"GMT, Date, Power Reserve",Men,Japan
Grand Seiko,Evolution 9 Spring Drive,SLGA021 'Kishun',Dress,Grand Seiko 9RA5,In-house,Spring Drive,9700,8000,2024,40.0,22.0,11.8,100,Sapphire,145,Stainless Steel,Bracelet,Steel,120,"Date, Power Reserve",Men,Japan
Grand Seiko,Diver Hi-Beat,SBGH289,Diver,Grand Seiko 9S85,In-house,Automatic,7700,6200,2023,43.8,22.0,16.9,600,Sapphire,230,Stainless Steel,Bracelet,Ceramic,55,Date,Men,Japan
Grand Seiko,Quartz SBGX261,SBGX261,Dress,Grand Seiko 9F61,In-house,Quartz,2300,1700,2024,37.0,19.0,10.1,100,Sapphire,110,Stainless Steel,Bracelet,Steel,0,Date,Unisex,Japan
Grand Seiko,Elegance Spring Drive,SBGY007,Dress,Grand Seiko 9R31,In-house,Spring Drive,6500,5000,2023,38.5,19.0,10.2,30,Sapphire,75,Stainless Steel,Leather,Steel,72,Power Reserve,Men,Japan
Grand Seiko,Heritage SBGA211 'Skyflake',SBGA407,Dress,Grand Seiko 9R65,In-house,Spring Drive,6300,5100,2023,41.0,21.0,12.5,100,Sapphire,100,Titanium,Bracelet,Steel,72,"Date, Power Reserve",Men,Japan
Casio,G-Shock DW5610U,DW-5610U-1,Digital,Casio Module 3434,In-house,Quartz,75,40,2024,42.8,0.0,12.9,200,Mineral,53,Resin,Resin,Resin,0,"Stopwatch, Alarm",Unisex,Japan
Casio,G-Shock 'Square' GMW-B5000,GMW-B5000D-1,Digital,Casio Module 3459,In-house,Solar,550,400,2024,43.2,0.0,13.0,200,Sapphire,167,Stainless Steel,Bracelet,Steel,0,"Bluetooth, Solar, World Time",Men,Japan
Casio,G-Shock DW6900,DW-6900-1V,Digital,Casio Module 1289,In-house,Quartz,99,55,2024,50.0,0.0,16.3,200,Mineral,63,Resin,Resin,Resin,0,"Stopwatch, Alarm",Unisex,Japan
Casio,G-Shock GA2100 'CasiOak',GA-2100-1A1,Sport,Casio Module 5611,In-house,Quartz,120,75,2024,45.4,0.0,11.8,200,Mineral,51,Carbon/Resin,Resin,Resin,0,Analog-Digital,Unisex,Thailand
Casio,G-Shock Mudmaster,GG-B100-1A,Tool,Casio Module 5554,In-house,Quartz,350,240,2024,55.4,0.0,17.4,200,Mineral,97,Resin,Resin,Resin,0,"Compass, Altimeter, Bluetooth",Men,Thailand
Casio,G-Shock Frogman,GWF-A1000-1A,Diver,Casio Module 5626,In-house,Solar,799,600,2024,53.3,0.0,16.1,200,Sapphire,115,Carbon/Resin,Resin,Resin,0,"Dive, Bluetooth, Solar",Men,Japan
Casio,G-Shock Rangeman,GW-9400-1,Tool,Casio Module 3410,In-house,Solar,330,220,2023,53.5,0.0,18.2,200,Mineral,93,Resin,Resin,Resin,0,"Triple Sensor, Solar",Men,Thailand
Casio,G-Shock MTG-B3000,MTG-B3000B-1A,Sport,Casio Module 5688,In-house,Solar,1100,850,2024,50.9,0.0,12.1,200,Sapphire,109,Carbon/Resin,Resin,Resin,0,"Bluetooth, Solar",Men,Japan
Casio,F-91W,F-91W-1,Digital,Casio Module 593,In-house,Quartz,20,12,2024,38.2,18.0,8.5,30,Acrylic,21,Resin,Resin,Resin,0,"Alarm, Stopwatch",Unisex,China
Casio,A158WA Vintage,A158WA-1,Digital,Casio Module 593,In-house,Quartz,30,18,2024,33.2,18.0,8.2,30,Acrylic,36,Stainless Steel,Bracelet,Steel,0,"Alarm, Stopwatch",Unisex,China
Casio,Edifice Chronograph,EFV-540D-1A,Chronograph,Casio Module,In-house,Quartz,130,80,2024,48.0,22.0,12.4,100,Mineral,165,Stainless Steel,Bracelet,Steel,0,"Chronograph, Date",Men,Thailand
Casio,Pro Trek PRG-340,PRG-340-1,Tool,Casio Module 3415,In-house,Solar,230,150,2023,55.4,0.0,12.7,100,Mineral,65,Resin,Resin,Resin,0,"Triple Sensor, Solar",Men,Thailand
Casio,G-Shock Full Metal GMWB5000 Gold,GMW-B5000GD-9,Digital,Casio Module 3459,In-house,Solar,650,520,2024,43.2,0.0,13.0,200,Sapphire,167,Stainless Steel,Bracelet,Steel,0,"Bluetooth, Solar",Men,Japan
Casio,Casio Vintage A168,A168WA-1,Digital,Casio Module,In-house,Quartz,35,20,2024,36.3,18.0,9.6,30,Acrylic,53,Stainless Steel,Bracelet,Steel,0,"Alarm, Stopwatch",Unisex,China
Casio,G-Shock GA-B2100,GA-B2100-1A1,Sport,Casio Module 5691,In-house,Solar,160,110,2024,48.5,0.0,11.9,200,Mineral,52,Carbon/Resin,Resin,Resin,0,"Bluetooth, Solar",Unisex,Thailand
Citizen,Promaster Diver Eco-Drive,BN0150-28E,Diver,Citizen E168,In-house,Solar,425,280,2024,44.0,20.0,12.0,200,Mineral,110,Stainless Steel,Polyurethane,Stainless Steel,0,Date,Men,Japan
Citizen,Promaster Dive Automatic,NY0040-09W 'Fugu',Diver,Citizen 8203,In-house,Automatic,375,250,2024,44.0,20.0,13.4,200,Mineral,165,Stainless Steel,Polyurethane,Stainless Steel,42,Day-Date,Men,Japan
Citizen,Promaster Skyhawk A-T,JY8078-52L,Pilot,Citizen U680,In-house,Solar,695,450,2023,46.0,0.0,18.0,200,Sapphire,170,Stainless Steel,Bracelet,Slide Rule,0,"Atomic, World Time, Chronograph",Men,Japan
Citizen,Tsuyosa Automatic,NJ0150-81X,Sport,Citizen 8210,In-house,Automatic,425,300,2024,40.0,18.0,11.7,50,Sapphire,140,Stainless Steel,Bracelet,Stainless Steel,42,Date,Unisex,Japan
Citizen,Eco-Drive Corso,BM7100-59E,Dress,Citizen E111,In-house,Solar,295,180,2024,40.0,20.0,9.0,100,Mineral,95,Stainless Steel,Leather,Steel,0,Date,Men,Japan
Citizen,Series 8 870 Mechanical,NB6012-18L,Sport,Citizen 9051,In-house,Automatic,2000,1400,2024,40.4,20.0,11.3,100,Sapphire,165,Stainless Steel,Bracelet,Stainless Steel,50,Date,Men,Japan
Citizen,Attesa Eco-Drive Radio,CB0210-54L,Dress,Citizen H145,In-house,Solar,595,400,2023,40.0,0.0,9.5,100,Sapphire,90,Super Titanium,Bracelet,Titanium,0,"Atomic, World Time",Men,Japan
Citizen,The Citizen A060,AQ4020-54Y,Dress,Citizen Cal. A060,In-house,Solar,2400,1700,2023,38.3,19.0,9.1,50,Sapphire,95,Super Titanium,Leather,Titanium,0,Date,Men,Japan
Citizen,Promaster Tough,BN0211-50E,Field,Citizen J810,In-house,Solar,350,230,2024,42.0,20.0,12.4,200,Sapphire,120,Super Titanium,Bracelet,Titanium,0,Date,Men,Japan
Citizen,Eco-Drive Chronograph,CA0649-14E,Chronograph,Citizen B612,In-house,Solar,325,200,2024,43.0,21.0,11.7,100,Mineral,150,Stainless Steel,Bracelet,Tachymeter,0,"Chronograph, Date",Men,Japan
Tissot,PRX Powermatic 80,T137.407.11.041.00,Sport,Tissot Powermatic 80,ETA-based,Automatic,725,520,2024,40.0,12.0,10.9,100,Sapphire,145,Stainless Steel,Bracelet,Stainless Steel,80,Date,Unisex,Switzerland
Tissot,PRX Powermatic 80 35mm,T137.207.11.041.00,Sport,Tissot Powermatic 80,ETA-based,Automatic,695,500,2024,35.0,10.0,10.6,100,Sapphire,120,Stainless Steel,Bracelet,Stainless Steel,80,Date,Unisex,Switzerland
Tissot,PRX Quartz 40mm,T137.410.11.041.00,Sport,ETA F06,ETA,Quartz,395,250,2024,40.0,12.0,10.4,100,Sapphire,140,Stainless Steel,Bracelet,Stainless Steel,0,Date,Unisex,Switzerland
Tissot,PRX Chronograph,T137.427.11.041.00,Chronograph,Valjoux A05.H31,ETA-based,Automatic,1850,1300,2024,42.0,12.0,15.2,100,Sapphire,175,Stainless Steel,Bracelet,Stainless Steel,60,"Chronograph, Date",Men,Switzerland
Tissot,Seastar 1000 Powermatic 80,T120.407.11.041.00,Diver,Powermatic 80,ETA-based,Automatic,875,600,2024,43.0,21.0,13.0,300,Sapphire,185,Stainless Steel,Bracelet,Ceramic,80,Date,Men,Switzerland
Tissot,Gentleman Powermatic 80 Silicium,T127.407.11.051.00,Dress,Powermatic 80,ETA-based,Automatic,795,550,2024,40.0,21.0,11.5,100,Sapphire,150,Stainless Steel,Bracelet,Steel,80,Date,Men,Switzerland
Tissot,Le Locle Powermatic 80,T006.407.11.033.00,Dress,Powermatic 80,ETA-based,Automatic,675,450,2024,39.3,19.0,9.75,30,Sapphire,120,Stainless Steel,Bracelet,Steel,80,Date,Men,Switzerland
Tissot,Chrono XL Quartz,T116.617.36.057.00,Chronograph,ETA G10,ETA,Quartz,425,250,2024,45.0,22.0,12.4,100,Mineral,165,Stainless Steel,Bracelet,Tachymeter,0,"Chronograph, Date",Men,Switzerland
