Brand,Model,Reference Number,Type,Movement,Base Movement,Movement Type,Price (New),Price (Used),Year,Case Diameter (mm),Lug Width (mm),Case Thickness (mm),Water Resistance (m),Crystal,Weight (grams),Case Material,Bracelet/Strap Type,Bezel Material,Power Reserve (hours),Complications,Gender,Country of Manufacture
Junghans,Max Bill Automatic,027/4701.02,Dress,J800.1,ETA 2824-2,Automatic,1100,750,2023,38,20,10,30,Plexiglass,,Stainless Steel,Leather,,38,Date,Unisex,Germany
Maurice Lacroix,Aikon Automatic,AI6008-SS002-430-1,Dress,ML115,SW200-1,Automatic,2050,1350,2023,42,22,11,200,Sapphire,,Stainless Steel,Bracelet,Steel,38,Date,Male,Switzerland
Zodiac,Super Sea Wolf,ZO9203,Diver,STP 3-13,STP 1-11,Automatic,1395,950,2022,40,20,13,200,Sapphire,,Stainless Steel,Bracelet,,44,Date,Male,Switzerland
Farer,Aqua Compressor Hecla,AQ-HC-1,Diver,Sellita SW200-1,SW200-1,Automatic,1195,850,2023,41,20,12.5,300,Sapphire,,Stainless Steel,Rubber,,38,Date,Male,UK (Assembled in CH)
Baltic,Aquascaphe Classic,AQUA-BL,Tool,Miyota 9039,,Automatic,750,500,2023,39,20,12,200,Sapphire,,Stainless Steel,Beads of Rice,Steel,42,None,Male,France (Assembled in CH)
Unimatic,Modello Uno U1-FM,U1-FM,Tool,Seiko NH35A,,Automatic,775,580,2022,41.5,22,13.6,300,Sapphire,,Stainless Steel,Rubber,,41,None,Male,Italy
Christopher Ward,C65 Trident,C65-41H3H1-S0KW0,Field,SW210-1,SW210-1,Manual,995,650,2023,41,20,11.5,150,Sapphire,,Stainless Steel,Canvas,,42,None,Male,UK (Assembled in CH)
Dan Henry,1970 Automatic Diver,1970-40-D1,Diver,Seiko NH35,,Automatic,290,220,2023,40,20,14.5,200,Sapphire-coated,,Stainless Steel,Rubber,,41,Date,Male,China (Assembled)
Lorier,Neptune Series III,N/A,Diver,Miyota 90S5,N/A,Automatic,499,375,2023,39,20,12.2,200,Plexiglass,N/A,Stainless Steel,Bracelet,N/A,42,None,Male,USA (Assembled)
Halios,Seaforth IV,,Diver,Sellita SW200-1,SW200-1,Automatic,775,650,2023,39,20,12,200,Sapphire,,Stainless Steel,Rubber,,38,None,Male,Canada (Assembled in CH)
Monta,Atlas GMT,ATG-21-GM01,GMT,Monta Caliber M-23,SW330-2,Automatic,1750,1400,2023,38.5,20,10.2,150,Sapphire,,Stainless Steel,Bracelet,Steel,56,GMT,Male,USA (Assembled in CH)
Oak & Oscar,Humboldt GMT,OAO-HGMT-GRN,GMT,ETA 2893-2,ETA 2893-2,Automatic,1825,1300,2023,40,20,12.5,200,Sapphire,,Stainless Steel,Bracelet,,42,GMT,Male,USA (Assembled in CH)
Sinn,104 St Sa,104.012,Dress,SW220-1,SW220-1,Automatic,1350,980,2023,41,20,11.5,200,Sapphire,,Stainless Steel,Leather,,38,Day-Date,Male,Germany
Damasko,DA36,DA36-0001,Tool,A35-2 (based on ETA 2836-2),ETA 2836-2,Automatic,1580,1100,2022,40,20,12.4,100,Sapphire,,Ice-hardened Steel,Leather,,42,Day-Date,Male,Germany
Fortis,Flieger F-39,F4220007,Tool,UW-30 Performance,ETA 2836-2,Automatic,2550,1900,2023,39,20,12.2,200,Sapphire,,Stainless Steel,Leather,,38,Date,Male,Switzerland
Nodus,Contrail II,NOD-C2-BLUE-SS,Field,Miyota 9015,,Automatic,675,500,2023,39,20,12.6,150,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,USA (Assembled)
Zelos,Mako V3,ZLS-MKV3-DLC,Tool,Seiko NH35,,Automatic,499,375,2022,40,20,13,300,Sapphire,,Stainless Steel,Rubber,,41,Date,Male,Singapore (Assembled)
Steinhart,Ocean One 39,103-0953,Diver,ETA 2824-2,ETA 2824-2,Automatic,520,420,2023,39,20,12,300,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Germany
Spinnaker,Bradner Automatic,SP-5062-02,Diver,Seiko NH35,,Automatic,285,200,2023,42,20,15,150,Sapphire-coated,,Stainless Steel,Rubber,Aluminum,,Date,Male,Hong Kong (Assembled)
Vero,Workhorse Chrono,N/A,Chronograph,Seiko VK64,N/A,Quartz,395,320,2023,44.5,22,13.5,120,Hardened Mineral,N/A,Polycarbonate,Rubber,N/A,N/A,Chronograph,Male,USA (Assembled)
Autodromo,Group B Series 2,N/A,Dress,Miyota 9015,N/A,Automatic,975,750,2022,39,20,10,50,Sapphire,N/A,Stainless Steel + Titanium,Bracelet,N/A,42,None,Male,USA (Assembled)
Weiss,Standard Issue Field Watch,1003-01,Field,Weiss Caliber 1003,ETA 6497,Manual,1250,900,2022,42,20,12.7,100,Sapphire,,Stainless Steel,Canvas,,46,None,Male,USA (Made in USA)
Vaer,D5 Atlantic USA Diver,D5-NAUSA,Diver,Miyota 9039,,Automatic,549,440,2023,39,20,12.2,200,Sapphire,,Stainless Steel,Rubber,,42,None,Male,USA (Assembled)
Marloe,Coniston Automatic,CON-AUT-GRN,Field,Miyota 9039,,Automatic,415,320,2023,41,20,11,100,Sapphire,,Stainless Steel,Leather,,42,None,Male,UK (Assembled)
Studio Underd0g,Watermel0n Chronograph,V1-WATERMEL0N,Chronograph,Seagull ST-1901,Venus 175,Manual,675,600,2023,38.5,20,13.6,50,Hesalite,,Stainless Steel,Leather,,45,Chronograph,Unisex,UK (Assembled in China)
Furlan Marri,Havana Salmon 2116-A,2116-A,Dress,Seiko VK64,N/A,Quartz,575,450,2023,38,20,11.3,50,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland (Assembled)
Kurono Tokyo,Chronograph 2,KR-CH2,Chronograph,NE86A,,Automatic,3490,2900,2023,38,20,13.5,50,Sapphire,,Stainless Steel,Leather,,45,Chronograph,Male,Japan
Formex,Reef GMT 300M,FORM-GMT-REF,Diver,SW330-2,SW330-2,Automatic,1860,1250,2023,42,22,11.4,300,Sapphire,,Stainless Steel,Bracelet,Ceramic,56,GMT,Male,Switzerland
Brew,Metric Retro Dial,N/A,Chronograph,Seiko VK68,N/A,Quartz,395,320,2023,36,20,10.7,50,Sapphire,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Unisex,USA (Assembled)
Autark,Arctic Sport,N/A,Field,ETA 2824,N/A,Automatic,925,725,2022,39,20,12.3,200,Sapphire,N/A,Stainless Steel,Bracelet,N/A,38,Date,Male,Germany
Echo/Neutra,AVERAU 39,“AV39-2011-SS”,Field,ETA 2824,,Automatic,895,690,2022,39,20,12.2,100,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Italy
Laco,Aachen Blaue Stunde 42,861989,Pilot,Miyota 821A,,Automatic,410,320,2023,42,20,12.3,50,Sapphire,,Stainless Steel,Leather,,42,None,Male,Germany
Hemel,HF Series,HF10,Pilot,Seiko VK64,N/A,Quartz,399,295,2023,42,20,12.2,100,Sapphire,N/A,Stainless Steel,NATO,N/A,N/A,Chronograph,Male,USA (Assembled)
Eza,Sealander,SEAL-001,Diver,ETA 2824-2,ETA 2824-2,Automatic,950,720,2022,41,20,13,300,Sapphire,,Stainless Steel,Rubber,,38,Date,Male,Germany
Nivada Grenchen,Chronomaster Aviator Sea Diver,86001M,Chronograph,Seiko VK64,N/A,Quartz,479,350,2023,38.3,20,13.5,100,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland
Nezumi,Voiture Chronograph,NZ-VCB101,Chronograph,Seiko VK64,N/A,Quartz,430,330,2022,40,20,11.5,50,Sapphire-coated,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Sweden
Tusenö,Shellback V2,,Diver,Sellita SW200-1,SW200-1,Automatic,849,620,2023,40,20,13.2,200,Sapphire,,Stainless Steel,Bracelet,Ceramic,38,Date,Male,Sweden
Maen,Skymaster 38,N/A,Chronograph,Seiko NE88,N/A,Automatic,999,750,2023,38,20,13.4,100,Sapphire,N/A,Stainless Steel,Bracelet,N/A,45,Chronograph,Male,Netherlands
BALTANY,Chronograph 1960s,,Chronograph,Seagull ST19,Venus 175,Manual,299,230,2023,38.5,20,13.2,50,Acrylic,,Stainless Steel,Leather,,45,Chronograph,Male,China
Seestern,Diver 62MAS,N/A,Diver,Seiko NH35,N/A,Automatic,179,130,2023,39,20,13.5,200,Sapphire,N/A,Stainless Steel,Bracelet,N/A,41,Date,Male,China
San Martin,SN012-G V3,N/A,Diver,Seiko NH35,N/A,Automatic,260,190,2023,39.5,20,13.3,200,Sapphire,N/A,Stainless Steel,Bracelet,N/A,41,Date,Male,China
Pharos,Sentinel V2,PHR-SNT-V2,Dress,Miyota 9015,,Automatic,725,540,2022,40,20,12,100,Sapphire,,Stainless Steel,Leather,,42,None,Male,USA (Assembled)
Isotope,Hydrium X Blink,ISO-HX-BLNK,Diver,Swiss Landeron 24,,Automatic,950,725,2023,40,22,14.9,300,Sapphire,,Stainless Steel,Rubber,,40,Date,Unisex,UK (Assembled)
Draken,Kruger,DR-KRGR-BLK,Diver,Seiko NH35,,Automatic,599,440,2023,42,22,13.2,300,Sapphire,,Stainless Steel,Rubber,,41,Date,Male,New Zealand
RZE,Endeavour Titanium Diver,RZE-EN-TI,Diver,Seiko NH38,,Automatic,499,385,2023,40.5,20,12.5,200,Sapphire,,Titanium,Rubber,,41,None,Male,Singapore
Helm,Vanuatu,VAN-01,Diver,Seiko NH35,,Automatic,275,200,2023,42,22,14,300,Sapphire,,Stainless Steel,Rubber,,41,Date,Male,USA (Assembled)
NTH,Nacken Modern,NTH-NKM-DVR,Diver,Miyota 9015,,Automatic,650,490,2023,40,20,11.5,300,Sapphire,,Stainless Steel,Bracelet,,42,None,Male,USA (Assembled)
Traska,Freediver v5,TR-FD-BLU,Diver,Miyota 9039,,Automatic,585,450,2023,40,20,10.5,200,Sapphire,,Stainless Steel,Bracelet,,42,None,Male,USA (Assembled)
Vaer,A5 Automatic,A5-FIELD-M-Diver,N/A,Miyota 9039,N/A,Automatic,499,375,2023,40,20,12.2,200,Sapphire,N/A,Stainless Steel,Rubber,N/A,42,None,Male,USA (Assembled)
Borealis,Sea Storm MK2,BRL-SSMK2-BLU,Diver,Miyota 9015,,Automatic,420,330,2023,41,20,13.5,300,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,Portugal
Direnzo,DRZ 04 Mondial,DRZ-04-BLU,Dress,ETA 2824,,Automatic,675,520,2023,39,20,11,100,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Straton,Daily Driver Chrono,ST-DDC-QTZ,Chronograph,Seiko VK64,N/A,Quartz,399,295,2022,42,22,13.2,100,Sapphire,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Switzerland
Serica,5303-3,N/A,Diver,ETA 2824-2,ETA 2824-2,Automatic,1290,920,2023,39,20,12.2,300,Sapphire,,Stainless Steel,Beads of Rice,,38,Time Only,Male,France
Yema,Navygraf Heritage,YNAV22-AMS,Diver,Miyota 9039,,Automatic,790,620,2023,39,19,12,300,Sapphire,,Stainless Steel,Bracelet,,42,None,Male,France
Lüm-Tec,M88,M88-DIVER,N/A,Miyota 9015,N/A,Automatic,725,570,2022,44,24,13.8,300,Sapphire,N/A,Stainless Steel,Rubber,N/A,42,Date,Male,USA (Assembled)
Boldr,Venture Wayfarer,BOL-WF-FLD,Field,Seiko NH35,,Automatic,499,395,2023,38,20,11.2,200,Sapphire,,Titanium,NATO,,41,Date,Male,Singapore
Astor+Banks,Sea Ranger,ABSR-SR01,Diver,Miyota 9015,,Automatic,675,525,2023,40,20,12.5,300,Sapphire,,Stainless Steel,Rubber,,42,None,Male,USA (Assembled)
Brellum,Pandial Chronometer,PAND-CHRONO,Diver,Valjoux 7750,ETA 7750,Automatic,2890,2250,2022,43,22,15.9,200,Sapphire,,Stainless Steel,Bracelet,,46,Chronograph,Male,Switzerland
CW&T,Every Moment Watch,EMW-001,Dress,Seiko VH31,N/A,Quartz,158,135,2023,36,18,10.5,30,Hardlex,N/A,Titanium,Nylon,N/A,N/A,Time Only,Unisex,USA (Assembled)
Vortic,Springfield 399,SPR399,Dress,Rebuilt 1920s Pocket Watch,N/A,Manual,2450,1850,2023,49,N/A,14.2,30,Sapphire,N/A,Titanium,Leather,N/A,30,Time Only,Male,USA (Made in USA)
Zelos,Skyraider II,ZLS-SKY2-BZ,Pilot,ETA 6498,,Manual,1299,990,2023,42,22,12.5,100,Sapphire,,Bronze,Leather,,50,Small Seconds,Male,Singapore
Undone,Aero Commando,UDAERO-COM,Chronograph,Seiko VK64,N/A,Quartz,365,280,2022,41.8,20,12.5,30,Hardened Mineral,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,Hong Kong
Hemel,HF20,N/A,Pilot,Seiko VK64,N/A,Quartz,399,320,2022,42,20,11.8,100,Sapphire,N/A,Stainless Steel,Canvas,N/A,N/A,Chronograph,Male,USA (Assembled)
Tissell,Marine Diver 40mm,N/A,Diver,Miyota 9015,N/A,Automatic,395,300,2022,40,20,13,200,Sapphire,N/A,Stainless Steel,Bracelet,N/A,42,Date,Male,South Korea
Seiko,5 Sports GMT SSK003,SSK003,Sport,Seiko 4R34,In-house,Automatic,475,385,2023,42.5,22,13.6,100,Hardlex,,Stainless Steel,Bracelet,,41,GMT,Male,Japan
Casio,Pro Trek PRW-6600YB-3,PRW-6600YB-3,Field,Tough Solar Module,,Solar Quartz,320,260,2023,47.7,22,13.2,100,Resin,,Resin,Nylon,,,Digital Compass,Male,
Timex,Q Timex GMT TW2V38000,TW2V38000,Travel,Miyota 9075,,Automatic,379,299,2023,38,20,12.5,50,Acrylic,,Stainless Steel,Bracelet,Aluminum,42,GMT,Unisex,Philippines (Assembled)
Citizen,Series 8 831,NJ0150-56E,Dress,Miyota 8210,,Automatic,450,325,2023,40,20,11.7,100,Sapphire,,Stainless Steel,Bracelet,,42,Date,Male,Japan
Seiko,Presage Cocktail Time SRPB43,SRPB43,Dress,4R35,In-house,Automatic,425,300,2022,40.5,20,11.8,50,Hardlex,,Stainless Steel,Leather,,41,Date,Male,Japan
Orient,Kamasu II,RA-AA0815R19B,Diver,F6922,In-house,Automatic,325,220,2023,41.8,22,12.9,200,Sapphire,,Stainless Steel,Bracelet,,40,Day-Date,Male,Japan
Invicta,Pro Diver 8926OB,8926OB,Diver,Seiko NH35,,Automatic,85,60,2023,40,20,13,200,Flame Fusion,,Stainless Steel,Bracelet,,41,Date,Male,China
Tissot,PRX Powermatic 80,T137.407.11.041.00,Sport,ETA C07.111,ETA 2824-2,Automatic,695,540,2023,40,12,10.9,100,Sapphire,,Stainless Steel,Bracelet,,80,Date,Male,Switzerland
Certina,DS Action Diver,C032.407.11.041.00,Diver,ETA Powermatic 80.611,ETA 2824-2,Automatic,895,650,2023,43,21,13.1,300,Sapphire,,Stainless Steel,Bracelet,,80,Date,Male,Switzerland
Glycine,Combat Sub 42,GL0083,Diver,GL224,ETA 2824-2,Automatic,595,420,2023,42,22,10.6,200,Sapphire,,Stainless Steel,Bracelet,,38,Date,Male,Switzerland
Luminox,Navy SEAL 3501,XS.3501,Tool,Ronda 515,N/A,Quartz,395,270,2023,45,24,14,200,Hardened Mineral,N/A,Carbonox,Rubber,N/A,N/A,Time Only,Male,Switzerland
Mondaine,Classic Automatic,A1323034811SBB,Dress,SW200-1,SW200-1,Automatic,875,640,2022,40,20,10,50,Sapphire,,Stainless Steel,Leather,,38,Date,Unisex,Switzerland
Swatch,System51 Irony,SUTB400,Sport,System51,In-house,Automatic,150,110,2023,42,20,13,30,Plastic,,Stainless Steel,Rubber,,90,Date,Unisex,Switzerland
Casio,Edifice EFV-100D-1AV,EFV-100D-1AV,Sport,Casio 2716,N/A,Quartz,95,70,2023,42,20,10.9,100,Mineral,N/A,Stainless Steel,Bracelet,N/A,N/A,Time Only,Male,Japan
Orient,Bambino Version IV,FER2400AW0,Dress,Cal. F6724,In-house,Automatic,185,140,2023,42,22,11.8,30,Domed Mineral,,Stainless Steel,Leather,,40,Date,Male,Japan
Timex,Marlin Automatic TW2T22700ZV,TW2T22700ZV,Dress,Miyota 8215,,Automatic,249,175,2022,40,20,13,30,Acrylic,,Stainless Steel,Leather,,42,Date,Male,Philippines (Assembled)
Casio,G-Shock DW5600E-1V,DW5600E-1V,Digital,Module 3229,,Quartz,50,40,2023,43.2,20,13.4,200,Mineral,,Resin,Resin,,,Chronograph,Male,
Timex,Expedition Scout TW4B04700,TW4B04700,Field,Timex Quartz,N/A,Quartz,50,35,2023,40,20,11.5,50,Acrylic,N/A,Brass,Nylon,N/A,N/A,Time Only,Male,Philippines
Citizen,Promaster Tough BN0211-50E,BN0211-50E,Field,E168,N/A,Solar Quartz,495,350,2023,42,22,11.5,200,Sapphire,N/A,Super Titanium,Bracelet,N/A,N/A,Time Only,Male,Japan
Casio,Pro Trek PRT-B50,PRT-B50-1,Field,Module 5601,,Quartz,210,160,2023,57.5,24,15.8,100,Resin,,Resin,Silicone,,,Compass,Male,
Timex,Waterbury Traditional GMT,TW2V23600,Sport,Miyota 9075,,Automatic,349,275,2023,42,20,13.2,100,Acrylic,,Stainless Steel,Bracelet,,42,GMT,Male,Philippines (Assembled)
Casio,Edifice Bluetooth EQB-1100D,EQB-1100D-1A,Chronograph,Casio Solar Bluetooth,,Solar Quartz,320,240,2023,44.6,20,8.9,100,Sapphire,,Stainless Steel,Bracelet,,,Chronograph,Male,
Seiko,5 Sports SNK809,SNK809,Sport,7S26,In-house,Automatic,95,70,2023,37,18,11,30,Hardlex,,Stainless Steel,Canvas,,40,Day-Date,Male,Japan
Invicta,Pro Diver Quartz 30021,30021,Diver,Ronda 515,N/A,Quartz,75,50,2023,43,22,13,200,Mineral,N/A,Stainless Steel,Bracelet,N/A,N/A,Date,Male,China
Vincero,Icon Automatic,N/A,Dress,Miyota 9015,N/A,Automatic,250,180,2022,41,20,11,100,Sapphire,N/A,Stainless Steel,Leather,N/A,42,Date,Male,China
Movement,MVMT Chrono Gunmetal,N/A,Chronograph,Miyota JS25,N/A,Quartz,135,95,2022,45,22,12,50,Glass,N/A,Stainless Steel,Leather,N/A,N/A,Chronograph,Male,China
Seiko,Prospex Alpinist SPB121J1,SPB121J1,Field,6R35,In-house,Automatic,725,525,2023,39.5,20,13.2,200,Sapphire,,Stainless Steel,Leather,,70,Date,Male,
Orient,Sun and Moon Version 3,FET0T002S0,Dress,Orient F6B24,In-house,Automatic,350,250,2022,42.5,22,14,50,Sapphire,,Stainless Steel,Leather,,40,Date,Male,
Invicta,Speedway 9223,9223,Chronograph,VD53,N/A,Quartz,85,60,2023,39.5,20,11.5,200,Flame Fusion,N/A,Stainless Steel,Bracelet,N/A,N/A,Chronograph,Male,China
Timex,Weekender TW2P91600,TW2P91600,Dress,Timex Quartz,N/A,Quartz,45,30,2023,38,20,9,30,Acrylic,N/A,Brass,Nylon,N/A,N/A,Time Only,Unisex,Philippines
Casio,MDV106-1A Duro,MDV106-1A,Diver,Module 2784,N/A,Quartz,75,55,2023,44,22,12,200,Mineral,N/A,Stainless Steel,Rubber,N/A,N/A,Date,Male,Japan
Seiko,Recraft SNKP27,SNKP27,Dress,7S26,In-house,Automatic,235,160,2023,40.5,22,13.5,50,Hardlex,,Stainless Steel,Bracelet,,40,Day-Date,Male,Japan
Citizen,Chandler BM8180-03E,BM8180-03E,Field,E100,N/A,Solar Quartz,130,95,2023,37,18,9,100,Mineral,N/A,Stainless Steel,Nylon,N/A,N/A,Day-Date,Male,Japan
Casio,A168WA-1,A168WA-1,Digital,Module 3298,,Quartz,25,20,2023,36.3,18,9.6,30,Acrylic,,Resin,Steel,,,Chronograph,Unisex,
Seiko 5,Automatic SNZH55,SNZH55,Diver,7S36,In-house,Automatic,180,130,2022,42,22,13,100,Hardlex,,Stainless Steel,Bracelet,,41,Day-Date,Male,Japan
Orient,Ray II,FAA02004B9,Diver,F6922,In-house,Automatic,325,230,2022,41.5,22,13,200,Mineral,,Stainless Steel,Bracelet,,40,Day-Date,Male,Japan
Timex,Navi XL Automatic TW2T22800,N/A,Diver,Miyota 8215,N/A,Automatic,259,190,2022,41,20,13.5,100,Acrylic,N/A,Stainless Steel,Leather,N/A,42,Date,Male,Philippines (Assembled)
Casio,G-Shock GA700-1B,GA700-1B,Digital,Module 5522,,Quartz,110,85,2023,53.4,22,16.7,200,Mineral,,Resin,Resin,,,Chronograph,Male,
Citizen,Promaster Diver BN0191-55L,BN0191-55L,Diver,E168,N/A,Solar Quartz,395,290,2023,45,22,12,200,Mineral,N/A,Stainless Steel,Bracelet,N/A,N/A,Date,Male,Japan
